Inchcape S_Ide
, O
an O
Australian S_Loc
independent O
international O
automotive O
retailer O
, O
with O
operations O
in O
nearly O
30 O
countries O
, O
was O
hit O
by O
the O
Windows B_Tool
Ransomexx I_Tool
ransomware E_Tool
. O

In O
the O
attack O
, O
company B_Con
data I_Con
was I_Con
stolen E_Con
, O
including O
administration O
, O
customer O
fulfilment O
and O
client O
information O
, O
some O
of O
which O
was O
then O
leaked S_Con
on O
the O
dark O
web O
. O

