Tracker S_Ide_located-at_1
, O
a O
South B_Loc_located-at_m
African E_Loc_located-at_m
company O
operating O
a O
vehicle O
recovery O
service O
was O
hacked O
by O
ransomware S_AP_M_1
, O
disrupting B_Con_hasImpact_1
customer I_Con_hasImpact_1
access E_Con_hasImpact_1
to O
its O
services O
. O

To O
stop O
the O
spread O
of O
the O
ransomware S_AP_hasImpact_m
across O
the O
network O
, O
the O
company O
took O
its O
systems O
offline O
, O
thereby O
causing O
a O
service B_Con_hasImpact_m
disruption E_Con_hasImpact_m
. O

Additionally O
, O
the O
company O
operates O
a O
telematic B_Com
server E_Com
to O
track O
and O
analyze O
its O
customer's O
vehicle O
usage O
and O
has O
over O
a O
million O
subscribers O
. O

It O
has O
not O
yet O
been O
disclosed O
if O
customers’ O
sensitive B_Con_hasImpact_m
data I_Con_hasImpact_m
was I_Con_hasImpact_m
compromised E_Con_hasImpact_m
during O
the O
attack O
. O

