Toll B_Ide_located-at_1
Group E_Ide_located-at_1
, O
an O
Australian S_Loc_located-at_m
transportation O
company O
, O
was O
struck O
by O
a O
targeted O
ransomware B_AP_M_m
attack E_AP_M_m
leading O
the O
company O
to O
disable B_CoA_mitigates_1
their I_CoA_mitigates_1
systems E_CoA_mitigates_1
as O
a O
precautionary O
measure O
. O

The O
shutdown O
impacted B_Con_hasImpact_1
several E_Con_hasImpact_1
of O
its O
customer-facing O
applications O
and O
created O
a O
delay O
in O
the O
company's O
operations O
, O
forcing O
the O
company O
to O
return O
to O
manual O
processing O
. O

The O
ransomware S_AP
is O
believed O
to O
have O
infected O
as O
many O
as O
1,000 O
servers S_Com
, O
including O
Active B_Com
Directory E_Com
and O
corporate B_Com
VPN E_Com
, O
affecting O
the O
company's O
40,000 O
employees O
. O

