RailWorks B_Ide_located-at_1
Corporation E_Ide_located-at_1
, O
one O
of O
North B_Loc_located-at_m
America’s O
leading O
railroad O
track O
and O
transit O
system O
providers O
, O
experienced O
a O
ransomware B_AP_M_1
attack E_AP_M_1
that O
led O
to O
the O
exposure B_Con_hasImpact_m
of I_Con_hasImpact_m
personally I_Con_hasImpact_m
identifiable I_Con_hasImpact_m
information E_Con_hasImpact_m
of O
current O
and O
former O
employees O
, O
as O
well O
as O
that O
of O
independent O
contractors O
. O

The O
ransomware S_AP_M_1
harvested O
the O
information O
before O
encrypting O
the O
files O
. O

The O
attackers O
might O
have O
gained O
access O
to O
names O
, O
addresses O
, O
driver O
license O
numbers O
, O
government-issued O
IDs O
, O
Social O
Security O
numbers O
, O
dates O
of O
birth O
, O
and O
dates O
of O
hire O
or O
retirement O
. O

