Israeli S_Loc
ride O
hailing O
app O
Bubble B_Com_M_m
Dan E_Com_M_m
misconfigured B_Vul_M_m
the I_Vul_M_m
server E_Vul_M_m
storing O
the O
receipts O
generated O
by O
the O
app O
, O
exposing B_Con_hasImpact_1
receipts E_Con_hasImpact_1
with O
PII O
and O
payment O
details O
of O
the O
app's O
users O
. O

By O
changing B_AP_M_m
the I_AP_M_m
unique I_AP_M_m
payment I_AP_M_m
identifier I_AP_M_m
parameter E_AP_M_m
in O
the O
link O
to O
the O
receipt O
, O
an O
unsophisticated O
attacker O
could O
easily O
scrape B_Con_hasImpact_m
the I_Con_hasImpact_m
receipt I_Con_hasImpact_m
PDF I_Con_hasImpact_m
files E_Con_hasImpact_m
. O

Each O
receipt O
contains O
the O
name O
, O
email O
, O
and O
the O
last O
four O
digits O
of O
the O
payment O
card O
used O
for O
the O
service O
. O

