Sheffield B_Ide_related-to_m
City I_Ide_related-to_m
Council's O
automatic B_Com_related-to_1
number-plate I_Com_related-to_1
recognition E_Com_related-to_1
(ANPR) O
system O
exposed B_Con
8.6 I_Con
million I_Con
records E_Con
of O
road O
journeys O
made O
by O
thousands O
of O
people O
to O
the O
internet O
. O

The O
ANPR S_Com
camera B_Com
system's O
internal B_Com
management I_Com
dashboard E_Com
was O
left O
unsecured O
and O
could O
have O
been O
accessed O
by O
simply O
entering O
its O
IP O
address O
into O
a O
web O
browser O
. O

Anyone O
who O
had O
access O
to O
the O
IP O
address O
could O
view O
and O
search O
the O
live O
system O
which O
logs O
where O
and O
when O
vehicles O
travel O
through O
Sheffield's O
road O
network O
. O

