B-H B_Ide_located-at_1
Transfer E_Ide_located-at_1
, O
a O
US-based O
trucking O
company O
, O
was O
targeted O
by O
ransomware S_AP_M_1
in O
February O
, O
just O
as O
COVID-19 O
spread O
across O
the O
US S_Loc
. O

The O
attackers O
penetrated B_Con_hasImpact_1
the I_Con_hasImpact_1
company's I_Con_hasImpact_1
backup I_Con_hasImpact_1
files E_Con_hasImpact_1
, O
deleted O
, O
and O
encrypted O
them O
. O

It O
took O
the O
company O
almost O
two O
weeks O
to O
restore O
its O
systems O
to O
the O
original O
state O
. O

