Tesla’s S_Veh_consists-of_1
" O
Traffic B_Com_M_m
Light I_Com_M_m
and I_Com_M_m
Stop I_Com_M_m
Sign I_Com_M_m
Control E_Com_M_m
" O
feature O
confuses O
Burger O
King O
signs O
for O
stop O
signs O
, O
causing O
the O
vehicle O
to O
slow B_Con_hasImpact_1
down E_Con_hasImpact_1
when O
capturing O
the O
sign O
from O
a O
distance O
. O

While O
this O
event O
was O
not O
an O
intentional O
cyber O
manipulation O
, O
black O
hat O
actors O
might O
try O
to O
re-use O
this O
technique O
and O
create B_AP_M_1
malicious I_AP_M_1
signs E_AP_M_1
that O
will O
disrupt O
vehicles O
on O
the O
road O
. O

