National B_Ide
Highways I_Ide
Authority I_Ide
of I_Ide
India E_Ide
(NHAI) O
stated O
they O
were O
victims O
of O
a O
ransomware B_AP_M_1
attack E_AP_M_1
on O
their O
email B_Com_targets_1
server E_Com_targets_1
. O

The O
ransomware S_Tool_uses_1
operators O
breached O
NHAI B_Com_targets_1
servers E_Com_targets_1
and O
released B_Con_hasImpact_1
sensitive I_Con_hasImpact_1
data I_Con_hasImpact_1
files E_Con_hasImpact_1
. O

The O
ransomware S_Tool
operators O
claim O
to O
have O
uploaded O
100% O
of O
the O
total O
data B_Con_hasImpact_1
leak E_Con_hasImpact_1
. O

The O
data B_Con
leak E_Con
included O
sensitive O
corporate O
operational O
documents O
such O
as O
the O
company's O
staff O
list O
, O
a O
passport O
copy O
of O
the O
former O
chairman O
of O
NHAI O
, O
details O
of O
dependent O
family O
members O
of O
NHAI O
employees O
, O
NHAI O
internal O
audit O
reports O
, O
and O
more O
. O

