ADIF S_Com
, O
a O
Spanish S_Loc
state-owned O
railway B_Com
infrastructure I_Com
management I_Com
system E_Com
, O
was O
hit O
by O
REVil B_Tool
ransomware E_Tool
operators O
. O

The O
hackers O
claimed O
to O
have O
stolen O
800GB O
of O
data O
, O
including O
correspondence O
and O
contracts O
. O

As O
proof O
of O
the O
attack O
, O
the O
ransomware O
operators O
posted O
a O
sample O
of O
files O
exfiltrated O
from O
the O
company O
, O
and O
threatened O
to O
release B_Con
confidential I_Con
data E_Con
online O
if O
a O
ransom O
was O
not O
paid O
. O

