Toyota S_Ide_related-to_1
revealed O
that O
researchers O
found O
a O
buffer B_Vul_M_m
overflow I_Vul_M_m
vulnerability E_Vul_M_m
in O
the O
Global B_Com_consists-of_1
TechStream E_Com_consists-of_1
(GTS) O
diagnostic B_Com_M_m
cable E_Com_M_m
. O

The O
vulnerability O
could O
allow O
an O
attacker O
to O
execute B_Con_hasImpact_1
arbitrary I_Con_hasImpact_1
code E_Con_hasImpact_1
or O
cause O
a O
denial B_Con_hasImpact_1
of I_Con_hasImpact_1
service E_Con_hasImpact_1
(DoS) O
condition O
. O

