BCycle S_Ide
, O
a O
corporation O
that O
operates O
bicycle O
sharing O
service O
, O
found O
malware S_Tool
on O
its O
website S_Com
that O
allowed O
a O
hacker O
to O
find B_Con
personal I_Con
information E_Con
of O
users O
who O
signed O
up O
for O
a O
membership O
pass O
through O
the O
company's O
website S_Com
. O

The O
breached B_Con
information E_Con
may O
have O
included O
users O
' O
names O
, O
credit O
card O
numbers O
, O
and O
addresses O
. O

The O
company O
claimed O
to O
cover O
the O
cost O
of O
one O
year O
of O
identity O
theft O
protection O
for O
affected O
customers O
. O

