Western B_Loc_located-at_1
Massachusetts E_Loc_located-at_1
police O
reported O
an O
increase O
in O
organized O
crime O
car O
thefts O
, O
where O
hackers O
have O
driven O
around O
neighborhoods O
and O
used O
devices O
to O
capture B_AP_M_1
vehicle I_AP_M_1
key I_AP_M_1
fob I_AP_M_1
signals E_AP_M_1
, O
later O
returning O
with O
a O
copy O
of O
the O
unique O
frequency O
to O
unlock B_Con_hasImpact_1
the I_Con_hasImpact_1
cars E_Con_hasImpact_1
and O
steal S_Con_hasImpact_1
them O
. O

The O
police O
also O
warned O
owners O
of O
push-to-start O
vehicles O
(where O
radio O
transmission O
of O
the O
key B_Com
fob E_Com
also O
acts O
as O
the O
engine S_Com
switch O
) O
of O
the O
potential O
of O
having O
their O
cars O
quietly O
and O
easily O
stolen S_Con
as O
well O
. O

