Italian B_Loc_located-at_1
State E_Loc_located-at_1
police O
arrested O
a O
54-year-old O
suspect O
for O
aggravated O
theft S_Con_hasImpact_1
after O
preventing B_AP_M_1
vehicles I_AP_M_1
from I_AP_M_1
locking E_AP_M_1
after O
the O
drivers O
exited O
their O
cars O
. O

Immediately O
after O
drivers O
exited O
their O
vehicles O
, O
a O
signal B_Tool_uses_1
jammer E_Tool_uses_1
was O
used O
to O
prevent B_AP_M_1
the I_AP_M_1
car’s I_AP_M_1
locking I_AP_M_1
mechanism E_AP_M_1
from O
engaging O
. O

As O
the O
owners O
walked O
away O
the O
thief O
had O
ample O
time O
to O
enter O
the O
vehicle O
and O
manipulate O
the O
ignition O
system O
. O

