Log4Shell S_Vul_M_m
, O
a O
vulnerability O
found O
in O
the O
Log4j B_Com_hasVulnerability_1
java I_Com_hasVulnerability_1
library E_Com_hasVulnerability_1
was O
discovered O
and O
disclosed O
in O
early O
December O
, O
2021 O
. O

This O
vulnerability O
in O
Log4j S_Com_hasVulnerability_1
was O
a O
zero-day O
vulnerability O
now O
assigned O
CVE-2021-44228. O
This O
critical O
vulnerability O
in O
Log4j S_Com_hasVulnerability_1
, O
allows O
an O
attacker O
to O
execute B_Con_hasImpact_1
arbitrary I_Con_hasImpact_1
code E_Con_hasImpact_1
on O
systems S_Com_consists-of_1
using O
Log4j S_Com_consists-of_1
to O
write O
out O
log O
messages O
. O

By O
exploiting O
the O
connection O
between O
the O
vehicles O
and O
company O
servers O
, O
threat O
actors O
can O
access B_Con
company I_Con
assets E_Con
. O

This O
can O
be O
achieved O
by O
communicating O
directly O
with O
the O
telematics B_Com
data I_Com
servers E_Com
, O
to O
the O
back-end B_Com
infrastructure E_Com
and O
internal B_Com
servers E_Com
, O
bypassing O
many O
existing O
security O
controls O
in O
place O
. O

