West B_Loc
Yorkshire E_Loc
, O
UK S_Loc
police O
issued O
a O
warning O
after O
seeing O
a O
rise O
in O
keyless B_Con_hasImpact_1
cars I_Con_hasImpact_1
stolen E_Con_hasImpact_1
in O
Leeds S_Loc_located-at_1
, O
including O
an O
increase O
in O
key B_Com_M_m
fob E_Com_M_m
relay B_AP_M_1
attacks E_AP_M_1
against O
Range B_Veh_consists-of_1
Rovers E_Veh_consists-of_1
. O

According O
to O
the O
police O
, O
the O
vehicles O
were O
stolen S_Con
by O
criminals O
who O
then O
exported O
them O
abroad O
for O
sale O
. O

