Signal B_AP_hasImpact_1
jamming E_AP_hasImpact_1
has O
seen O
a O
rise O
and O
has O
become O
a O
prevalent O
criminal O
trend O
across O
South O
Africa O
. O

Thieves O
were O
spotted O
on O
CCTV O
stealing S_Con_hasImpact_m
vehicles O
using O
remote B_AP_M_1
jamming E_AP_M_1
in O
a O
manner O
that O
is O
both O
intricate O
and O
swiftly O
executed O
. O

The O
act O
involved O
individuals O
interfering O
or O
manipulating O
the O
vehicle's O
alarm B_Com_targets_1
system E_Com_targets_1
with O
remote O
signals O
- O
a O
standard O
garage O
remote O
is O
most O
commonly O
used O
- O
to O
gain O
access O
and O
steal S_Con_hasImpact_1
the O
car O
owner’s O
personal O
belongings O
with O
relative O
ease O
. O

