Shlomo B_Ide_related-to_m
Sixt E_Ide_related-to_m
, O
one O
of O
the O
largest O
investments O
and O
holdings O
groups O
in O
Israel S_Loc
that O
provides O
car O
rental O
and O
leasing O
services O
, O
was O
directly O
affected O
by O
a O
network B_Vul_M_m
problem E_Vul_M_m
in O
one O
of O
its O
TSP S_Com_M_1
, O
Traffilog S_Com_M_m
, O
which O
provides O
the O
vehicles’ B_Com_consists-of_1
immobilizer E_Com_consists-of_1
. O

This O
occurred O
following O
Traffilog’s S_Com
latest O
update O
. O

In O
light O
of O
the O
incident O
, O
customers O
experienced O
difficulties O
and O
complained O
that O
their O
vehicles B_Con_hasImpact_1
would I_Con_hasImpact_1
not I_Con_hasImpact_1
start E_Con_hasImpact_1
and O
that O
they O
were O
forced O
to O
take O
taxis O
and O
cancel O
meetings O
. O

