BlackBerry S_Ide_related-to_1
, O
a O
vehicle O
software O
provider O
, O
addressed O
the O
QNX B_Vul_M_m
BadAlloc I_Vul_M_m
vulnerability E_Vul_M_m
and O
confirmed O
that O
it O
places O
many O
sectors O
at O
risk O
, O
including O
automotive O
systems O
, O
heavy O
machinery O
, O
rail O
, O
industrial O
controls O
, O
and O
aerospace O
. O

The O
company O
found O
a O
vulnerability O
that O
a O
remote O
hacker O
can O
exploit O
in O
its O
QNX S_Com_M_m
, O
microkernel-based, O
real-time O
operating O
system O
used O
in O
many O
fields O
, O
such O
as O
automotive O
systems O
and O
commercial O
vehicles O
. O

BMW S_Veh_consists-of_m
, O
Ford S_Veh_consists-of_m
, O
and O
Volkswagen S_Veh_consists-of_m
all O
use O
QNX S_Com_consists-of_1
for O
critical O
systems O
in O
their O
vehicles O
, O
such O
as O
driver B_Com_consists-of_m
assistance I_Com_consists-of_m
software E_Com_consists-of_m
. O

