Polish S_Loc
developer O
Michał O
Gapiński O
shared O
a O
look O
at O
CarPlay S_Com
running O
on O
his O
Tesla B_Veh_consists-of_1
Model I_Veh_consists-of_1
3 E_Veh_consists-of_1
contrary O
to O
the O
fact O
that O
Tesla S_Veh_consists-of_1
doesn’t O
support O
CarPlay S_Com
and O
writes O
its O
own O
software S_Com_consists-of_1
for O
its O
infotainment B_Com_consists-of_m
system E_Com_consists-of_m
. O

The O
ability O
to O
operate O
CarPlay S_Com
came O
with O
limited O
functionality O
, O
including O
being O
run O
by O
an O
in-car B_Com
Raspberry I_Com
Pi E_Com
running O
a O
custom O
build O
of O
Android B_Com
OS E_Com
. O

In O
addition O
, O
Gapiński O
had O
to O
use O
the O
Raspberry B_Com
Pi’s E_Com
mouse O
for O
navigation O
in O
place O
of O
the O
touchscreen O
. O

