Siemens S_Ide_M_m
, O
an O
automotive O
software O
and O
systems O
provider O
, O
informed O
customers O
about O
more O
than O
100 O
vulnerabilities O
affecting O
its O
products O
, O
including O
over O
90 O
security O
flaws O
introduced O
by O
the O
use O
of O
third-party O
components O
. O

Three O
advisories O
were O
marked O
critical O
and O
eight O
were O
high O
severity O
across O
Mendix S_Com_related-to_1
, O
COMOS S_Com_related-to_1
, O
Simcenter S_Com_related-to_1
, O
SIMOTICS S_Com_related-to_1
, O
SINEC S_Com_related-to_1
, O
RUGGEDCOM S_Com_related-to_1
, O
and O
SINUMERIK B_Com_related-to_1
products E_Com_related-to_1
. O

Five O
of O
Siemens’ O
March O
2022 O
Patch O
Tuesday O
advisories O
cover O
vulnerabilities O
affecting O
third-party O
components O
. O

One O
of O
them O
described O
the O
impact O
on O
SINEC B_Com_related-to_1
INS E_Com_related-to_1
of O
71 O
security O
holes O
affecting O
components O
such O
as O
Node.js, O
cURL S_Com
, O
SQLite S_Com
, O
CivetWeb S_Com
, O
and O
BIND S_Com
. O

Another O
advisory O
described O
over O
a O
dozen O
vulnerabilities O
affecting O
COMOS S_Com_related-to_1
, O
specifically O
the O
Drawings O
SDK O
used O
by O
the O
product O
. O

