Denial B_AP_M_1
of I_AP_M_1
service I_AP_M_1
attack E_AP_M_1
on O
WLAN B_Com_M_1
communication I_Com_M_1
channel E_Com_M_1
occupying O
the O
channel O
. O

Analysis O
of O
the O
IEEE B_Com
802.11 I_Com
protocols E_Com
. O

Exploit O
of O
the O
Clear O
Channel O
Assessment O
procedure: O
attack O
uses O
the O
PLME S_AV_M_m
( O
PHY B_AV_M_m
Layer I_AV_M_m
Management I_AV_M_m
Entity E_AV_M_m
) O
service O
, O
which O
puts O
the O
network O
card O
into O
a O
test O
mode O
in O
which O
special O
bit O
patterns O
are O
continuously O
sent O
to O
the O
channel O
. O

Data B_Con_hasImpact_1
flows I_Con_hasImpact_1
are I_Con_hasImpact_1
prevented E_Con_hasImpact_1
. O

