Gaining B_Con_hasImpact_1
access E_Con_hasImpact_1
to O
vehicle O
by O
Challenge B_AP_hasImpact_1
Forward I_AP_hasImpact_1
Prediction I_AP_hasImpact_1
Attack E_AP_hasImpact_1
. O

Challenge B_AP
Forward I_AP
Prediction I_AP
Attack: O
Prediction O
of O
the O
next O
challenge O
by O
observing O
previous O
challenges O
. O

Challenge B_AP
Forward I_AP
Prediction I_AP
Attack: O
The O
attacker O
must O
be O
close O
to O
the O
vehicle O
owner O
and O
cannot O
therefore O
remain O
on O
the O
vehicle O
indefinitely O
. O

