Relay B_AP_targets_1
attack E_AP_targets_1
on O
keyless B_Com_targets_1
entry I_Com_targets_1
system E_Com_targets_1
of O
a O
vehicle O
. O

Two-Thief O
Attack: O
Attacker O
near O
the O
vehicle O
sends O
vehicle O
signal O
to O
attacker O
2 O
who O
is O
near O
the O
car O
owner O
with O
the O
key S_Com
. O

The O
response O
signal O
from O
the O
key S_Com
is O
transmitted O
from O
attacker O
2 O
to O
attacker O
1 O
and O
the O
vehicle O
. O

Two-Thief O
Attack: O
As O
long O
as O
LF B_Com
signal E_Com
is O
used O
from O
vehicle O
to O
CID S_Com
and O
RF B_Com
signal E_Com
is O
used O
from O
CID S_Com
to O
vehicle O
, O
it O
is O
a O
deterministic O
attack O
that O
is O
possible O
with O
the O
help O
of O
suitable O
electronic O
devices O
. O

