Monitoring S_AP_targets_1
of O
FlexRay B_Com_targets_1
messages E_Com_targets_1
by O
eavesdropping S_AP
of O
the O
channel O
. O

Simulation O
model O
of O
a O
FlexRay B_Com
network E_Com
. O

Reading O
of O
the O
data O
traffic O
. O

Messages O
can O
be O
read O
. O

Spoofing S_AP
of O
FlexRay B_Com
messages E_Com
. O

Spoofing S_AP_hasImpact_1
of O
messages O
on O
the O
bus O
. O

Messages O
can O
be O
spoofed O
onto O
the O
bus O
. O

Example: O
Activating B_Con_hasImpact_1
the I_Con_hasImpact_1
rear I_Con_hasImpact_1
brake I_Con_hasImpact_1
lights E_Con_hasImpact_1
. O

