Denial B_Con
of I_Con
Service E_Con
on O
the O
WiFi B_Com_consists-of_1
communication E_Com_consists-of_1
of O
Ford B_Veh_consists-of_m
Edge I_Veh_consists-of_m
vehicles E_Veh_consists-of_m
due O
to O
a O
vulnerability O
in O
Broadcom's B_Com_consists-of_1
BCM4325 I_Com_consists-of_1
and I_Com_consists-of_1
BCM4329 I_Com_consists-of_1
combo I_Com_consists-of_1
solutions I_Com_consists-of_1
firmware E_Com_consists-of_1
. O

Sending B_AP_M_1
RSN I_AP_M_1
information I_AP_M_1
element E_AP_M_1
to O
cause O
a O
denial B_Con_hasImpact_1
of I_Con_hasImpact_1
service E_Con_hasImpact_1
in O
WiFi B_Com_targets_1
communication E_Com_targets_1
. O

WiFi B_Con_hasImpact_1
NIC I_Con_hasImpact_1
stops I_Con_hasImpact_1
responding E_Con_hasImpact_1
. O

