Deactivation S_Con_hasImpact_1
of O
the O
outer B_Com
vehicle I_Com
lighting E_Com
and O
stoboscope O
effect O
of O
the O
inner B_Com
lighting E_Com
by O
setting O
the O
Smart B_Com_targets_1
Junction I_Com_targets_1
Box E_Com_targets_1
into O
programming O
mode O
. O

Starting O
a O
diagnostic O
reprogramming S_AP_M_1
session O
of O
the O
Junction B_Com_targets_1
Box I_Com_targets_1
Ecu E_Com_targets_1
to O
the O
point O
where O
the O
data O
gets O
erased O
and O
the O
ECU S_Com
switches B_Con_hasImpact_1
into I_Con_hasImpact_1
programming I_Con_hasImpact_1
mode E_Con_hasImpact_1
. O

Failure B_Con_hasImpact_1
of I_Con_hasImpact_1
the I_Con_hasImpact_1
vehicle I_Con_hasImpact_1
lightning O
on O
the O
outside O
. O

Blinking B_Con_hasImpact_1
of I_Con_hasImpact_1
the I_Con_hasImpact_1
inner I_Con_hasImpact_1
vehicle I_Con_hasImpact_1
lightning E_Con_hasImpact_1
. O

