Brute B_AP_M_1
force I_AP_M_1
attack E_AP_M_1
on O
Tesla B_Com_targets_1
mobile I_Com_targets_1
app E_Com_targets_1
enables O
attackers O
to O
track B_Con_hasImpact_1
vehicles E_Con_hasImpact_1
, O
extract B_Con_hasImpact_1
information E_Con_hasImpact_1
from O
the O
app S_Com
and O
even O
unlock S_Con_hasImpact_1
the O
doors O
. O

User B_Com
credentials E_Com
can O
be O
read O
by O
using O
Tesla B_Com
REST I_Com
API E_Com
by O
3rd O
party O
apps O
. O

User B_Con_hasImpact_1
credentials I_Con_hasImpact_1
can I_Con_hasImpact_1
be I_Con_hasImpact_1
acquired E_Con_hasImpact_1
. O

Spoofing S_AP_M_1
remote B_Com_targets_1
vehicle I_Com_targets_1
functions E_Com_targets_1
using O
acquired O
user O
credentials O
. O

Remote B_Com
vehicle I_Com
functions E_Com
can O
be O
triggered S_Con_hasImpact_1
by O
attacker O
. O

