Control B_Con_hasImpact_1
over I_Con_hasImpact_1
many I_Con_hasImpact_1
vehicle I_Con_hasImpact_1
functions E_Con_hasImpact_1
by O
building O
a O
mobile O
testing O
platform O
and O
spoofing O
of O
CAN O
messages O
. O

Mobile O
test O
platform: O
Installation O
of O
the O
test O
bench O
in O
a O
moving O
object O
( O
go-kart), O
Sensors O
provide O
real O
data O
, O
attacks O
are O
closer O
to O
reality O
. O

Spoofing O
Attacks O
on O
mobile O
test O
platform O
( O
CAN O
Injection). O
Mobile O
test O
platform: O
Lane O
Keeping O
Assistant O
could O
be O
attacked O
so O
that O
the O
steering O
wheel O
was O
controlled O
, O
change O
of O
speed O
display O
. O

