Relay B_AP_targets_1
attack E_AP_targets_1
on O
keyless B_Com_targets_1
entry I_Com_targets_1
system E_Com_targets_1
of O
a O
vehicle O
. O

Attackers O
relay S_AP_hasImpact_m
radio O
transmits O
low O
frequency O
125 O
kHz O
signal O
from O
car O
antenna O
to O
a O
second O
relay O
which O
radiates O
it O
unchanged O
. O

This O
activates O
the O
key O
that O
sends O
the O
release O
signal O
to O
unlock S_Con_hasImpact_1
( O
433 O
MHz). O
Unlocking S_Con_hasImpact_1
cars O
via O
bigger O
distances O
. O

