Malware B_AP_M_1
attack E_AP_M_1
on O
diagnostic B_Com_targets_1
tool E_Com_targets_1
can O
lead O
to O
a O
distribution B_Con_hasImpact_1
of I_Con_hasImpact_1
the I_Con_hasImpact_1
malware E_Con_hasImpact_1
on O
attached O
vehicles O
. O

Fuzzing S_AP_M_1
random O
data O
to O
vehicle O
diagnostics B_Com_targets_1
tool E_Com_targets_1
. O

Vehicle O
diagnostics B_Com
tool E_Com
can O
be O
compromized O
in O
such O
a O
way O
that O
it O
can O
infect B_Con_hasImpact_1
multiple I_Con_hasImpact_1
vehicles E_Con_hasImpact_1
to O
which O
the O
tool O
is O
connected O
. O

