Changing B_Con_hasImpact_m
displayed I_Con_hasImpact_m
values E_Con_hasImpact_m
of O
different O
controls O
in O
the O
instrument B_Com
cluster E_Com
( O
oil O
pressure O
, O
oil O
temperature O
, O
fuel O
level O
, O
...) O
by O
reverse B_AP_M_1
engineering E_AP_M_1
the O
CAN S_Com_targets_1
data O
traffic O
and O
spoofing S_AP_hasImpact_1
false O
messages O
. O

Spoofing S_AP_targets_1
of O
CAN S_Com_targets_1
messages O
. O

Change B_Con
the I_Con
display E_Con
for: O
Oil O
temperature O
, O
oil O
pressure O
, O
coolant O
temperature O
, O
rpm O
, O
speed O
, O
tank O
level O
, O
battery O
charge O
and O
air O
pressure O
of O
the O
brake B_Com
system E_Com
. O

Controlling B_Con_hasImpact_1
vehicle I_Con_hasImpact_1
speed E_Con_hasImpact_1
by O
spoofing S_AP_M_1
false O
CAN S_Com_targets_1
messages O
. O

Spoofing S_AP_targets_1
of O
CAN S_Com_targets_1
messages O
. O

Overwriting O
the O
accelerator O
pedal O
using O
the O
Parameter O
Group O
Number O
( O
PGN O
) O
Torque/Speed O
Control O
( O
TSC1 O
) O
message O
parameters O
, O
acceleration O
via O
the O
speed O
mode O
and O
increasing O
the O
target O
speed O
, O
preventing O
acceleration O
using O
torque O
control O
and O
reducing O
the O
target O
torque O
. O

