Monitoring S_AP_targets_1
CAN S_Com_targets_1
messages O
. O

Eavesdropping S_AP_M_m
the O
bus S_Com_targets_1
for O
target O
frame O
of O
the O
Parking B_Com_targets_1
Sensors I_Com_targets_1
Module E_Com_targets_1
. O

Obtainment B_Con_hasImpact_1
of I_Con_hasImpact_1
CAN I_Con_hasImpact_1
messages E_Con_hasImpact_1
. O

Denial-of-Service B_AP
Attack E_AP
between O
physical O
and O
data O
link O
layer O
of O
the O
CAN O
protocol O
. O

Spoofing S_AP_M_1
messages O
to O
overwrite O
ECU S_Com_targets_1
frame O
to O
get O
Node O
into O
bus-off O
state O
. O

Deactivation B_Con_hasImpact_1
of I_Con_hasImpact_1
the I_Con_hasImpact_1
parking I_Con_hasImpact_1
assistance E_Con_hasImpact_1
. O

