Fooling S_AP_M_1
gradient-based B_Com_targets_1
algorithms E_Com_targets_1
for O
machine O
learning O
by O
generation O
of O
adversarial B_Tool_uses_1
examples E_Tool_uses_1
. O

Use O
of O
a O
loss O
function O
to O
generate O
adversarial B_Tool_uses_1
examples E_Tool_uses_1
with O
Houdini S_Tool_uses_1
in O
order O
to O
mislead S_AP_M_m
human B_Com_targets_1
pose I_Com_targets_1
recognition E_Com_targets_1
, O
semantic B_Com_targets_1
segmentation E_Com_targets_1
and O
speech B_Com_targets_1
recognition E_Com_targets_1
. O

Human B_Com_targets_1
Pose I_Com_targets_1
Estimation: O
Deception S_AP_targets_1
of O
algorithms O
to O
estimate O
human O
poses O
using O
targeted O
and O
untargeted O
attacks O
. O

Semantic B_Com
segmentation: O
Network B_Con_hasImpact_1
hallucinates E_Con_hasImpact_1
a O
segmentation O
. O

Speech B_Com
Recognition: O
By O
generating O
adversarial B_Tool_uses_1
audio I_Tool_uses_1
files E_Tool_uses_1
, O
attack O
on O
ASR S_Com_targets_1
could O
be O
carried O
out O
. O

