Triggering B_Con_hasImpact_1
misclassification E_Con_hasImpact_1
on O
a O
deep B_Com_targets_1
neural I_Com_targets_1
network E_Com_targets_1
by O
generation O
of O
physical B_AP_M_1
pertubations E_AP_M_1
. O

Derivation O
of O
an O
algorithm O
that O
generates O
physical B_AP_targets_m
pertubations E_AP_targets_m
while O
taking O
environmental O
and O
operating O
conditions O
into O
account O
. O

Attacks O
on O
Traffic B_Com_M_m
sign I_Com_M_m
recognition E_Com_M_m
. O

LISA-CNN: O
targeted-attack O
success-rate O
von O
73,33%. O
GTSRB-CNN: O
targeted-attack O
success-rate O
von O
80%. O
Inception-v3: O
target-attack O
success-rate O
von O
90% O
und O
71,4%. O
