Adversarial B_Tool_uses_m
Examples E_Tool_uses_m
with O
Dense B_AP_M_1
Adversary I_AP_M_1
Generation E_AP_M_1
( O
DAG S_AP_M_1
) O
Algorithm O
to O
attack O
semantic O
segmentation O
and O
object O
detection O
. O

Cross-Training O
Transfer: O
Pertubations O
learned O
in O
one O
network O
are O
transferred O
to O
another O
network O
of O
the O
same O
architecture O
, O
but O
trained O
with O
a O
different O
data O
set O
. O

Cross-Training O
Transfer: O
Significant O
performance O
loss O
of O
up O
to O
40%. O
