Daimler B_Com_consists-of_m
Mercedes-Benz I_Com_consists-of_m
COMAND E_Com_consists-of_m
17/13.0 O
50.12 O
of O
Mercedes-Benz B_Veh_consists-of_1
C-Class I_Veh_consists-of_1
2018 E_Veh_consists-of_1
vehicles O
vulnerable O
for O
denial B_AP_M_m
of I_AP_M_m
service I_AP_M_m
attacks E_AP_M_m
through O
the O
navigation B_Com_M_1
system E_Com_M_1
. O

Defining O
or O
receiving O
a O
specific B_Tool_uses_1
navigation I_Tool_uses_1
route E_Tool_uses_1
might O
cause O
the O
system B_Con_hasImpact_1
to I_Con_hasImpact_1
freeze I_Con_hasImpact_1
and I_Con_hasImpact_1
reboot E_Con_hasImpact_1
after O
a O
few O
transmissions O
. O

When O
the O
system O
next O
starts O
, O
it O
tries O
to O
re-calculate O
the O
route O
, O
which O
will O
cause O
a O
boot O
loop O
. O

Under O
certain O
circumstances O
, O
it O
is O
possible O
to O
quickly O
overwrite O
the O
malicious O
route O
to O
regain O
the O
stability O
of O
the O
system O
. O

