Access B_Con
and I_Con
control I_Con
over I_Con
components E_Con
like O
dash B_Com
cameras E_Com
and O
in-vehicle B_Com
computers E_Com
of O
police O
cars O
, O
ambulances O
, O
and O
other O
emergency O
vehicles O
due O
to O
vulnerable O
wireless B_Com
gateways E_Com
. O

Portscanning S_AP
webpages O
which O
store O
gateway S_Com
data O
which O
is O
tranfered O
by O
default O
. O

Random O
gateways S_Com
( O
some O
of O
them O
installed O
in O
cars O
) O
can O
be O
located S_Con
. O

