ELM327 B_Tool_uses_1
OBD2 I_Tool_uses_1
Bluetooth I_Tool_uses_1
device E_Tool_uses_1
misused O
to O
send B_AP_M_1
malicious I_AP_M_1
messages E_AP_M_1
via O
OBD S_AV_based-on_1
to O
trigger B_Con_hasImpact_1
vehicle I_Con_hasImpact_1
functions E_Con_hasImpact_1
. O

Sending B_AP_uses_m
arbitrary I_AP_uses_m
CAN I_AP_uses_m
messages E_AP_uses_m
via O
OBD-Bluetooth-Dongle. O
Messages O
can O
be O
sent O
to O
the O
CAN-Bus S_Com
by O
using O
the O
Bluetooth-OBD-Dongle. O
