Cross-Site-Scripting B_AP_M_1
attack E_AP_M_1
to O
acquire O
and O
manipulate B_Con_hasImpact_1
a I_Con_hasImpact_1
Tesla's I_Con_hasImpact_1
data E_Con_hasImpact_1
, O
such O
as O
speed O
, O
temperature O
, O
version O
numbers O
, O
etc O
. O

Setting O
up O
an O
XSS O
string O
as O
vehicle O
name O
. O

Access O
to O
website S_Com_M_1
for O
Tesla's S_Ide_related-to_1
vehicle O
management O
. O

Information O
like O
car O
and O
software O
versions O
as O
well O
as O
access O
to O
different O
over O
the O
air O
functions O
possible O
. O

