Social B_AP_M_m
engineering E_AP_M_m
used O
to O
convince O
vehicle O
owners O
to O
system B_Con_hasImpact_1
upgrades E_Con_hasImpact_1
which O
enabled O
criminals O
to O
steal B_Con_hasImpact_1
the I_Con_hasImpact_1
vehicles E_Con_hasImpact_1
. O

Approach O
vehicle O
owners O
with O
information O
about O
the O
vehicle's O
registration O
, O
the O
owner's O
details O
and O
get O
them O
to O
hand O
over O
their O
keys S_Com_targets_1
. O

Car B_Con_hasImpact_1
theft E_Con_hasImpact_1
, O
fraud S_Con_hasImpact_1
. O

