Tesla S_Veh_consists-of_1
key B_Com_consists-of_m
fob E_Com_consists-of_m
contains O
vulnerability O
which O
reduces O
the O
complexity O
for O
brute B_AP_targets_1
forcing E_AP_targets_1
the O
encryption B_Com_M_m
algorithm E_Com_M_m
to O
finding O
two O
40-bit O
keys O
. O

Analyzing O
key B_Com_hasInterface_1
fob E_Com_hasInterface_1
by O
challenge-response O
tests O
of O
its O
SPI B_AV_hasInterface_1
communication I_AV_hasInterface_1
interface E_AV_hasInterface_1
. O

All O
valid O
commands O
and O
all O
valid O
values O
for O
the O
SPI O
CMD O
and O
LEN O
fields O
were O
uncovered O
. O

Additionally O
, O
four O
undocumented O
commands O
were O
found O
, O
which O
indicated O
that O
two O
independent O
DST40 S_Com
implementations O
and O
two O
unknown O
cryptographic B_Com
functions E_Com
were O
implemented O
. O

Firmware B_AP_M_1
extraction E_AP_M_1
via O
key B_Com_targets_1
fob E_Com_targets_1
JTAG S_AV_based-on_1
. O

Firmware S_Com_targets_1
was O
extracted O
. O

Firmware B_AP_targets_1
Analysis E_AP_targets_1
. O

It O
was O
discovered O
that O
only O
one O
of O
the O
four O
crypto B_Com_hasVulnerability_1
ciphers E_Com_hasVulnerability_1
was O
used O
in O
which O
the O
key B_Vul_hasVulnerability_1
length I_Vul_hasVulnerability_1
is I_Vul_hasVulnerability_1
only I_Vul_hasVulnerability_1
40 I_Vul_hasVulnerability_1
bits E_Vul_hasVulnerability_1
. O

Protocol B_AP_M_1
Analysis E_AP_M_1
of O
PKES B_Com_targets_1
protocol E_Com_targets_1
and O
user-triggered B_Com_targets_1
key I_Com_targets_1
functions E_Com_targets_1
. O

Rolling B_Com_M_m
code I_Com_M_m
scheme E_Com_M_m
was O
found O
which O
is O
vulnerable O
against O
jamming S_AP_targets_1
and O
eavesdropping S_AP_targets_1
. O

Brute B_AP_targets_1
Force E_AP_targets_1
on O
key B_Com_M_1
space E_Com_M_1
of O
the O
key B_Com_consists-of_1
fobs E_Com_consists-of_1
crypto B_Com_M_1
ciphers E_Com_M_1
. O

Key S_Com
could O
be O
recovered O
. O

